<DTYYYYMMDD>,<TICKER>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
2022-10-04,S*I..N..C..Ind.,4861.0,4870.0,4831.0,4851.0,76839781514,15856861,1746,D,4860.0,4842.0
2022-10-03,S*I..N..C..Ind.,4860.0,4890.0,4855.0,4860.0,99701167424,20513077,1812,D,4860.0,4860.0
2022-10-02,S*I..N..C..Ind.,4835.0,4888.0,4831.0,4860.0,162826809227,33504561,2422,D,4880.0,4881.0
2022-10-01,S*I..N..C..Ind.,5030.0,5030.0,4840.0,4880.0,108449900145,22258595,2853,D,4980.0,4842.0
2022-09-28,S*I..N..C..Ind.,4960.0,5050.0,4930.0,4980.0,96235647730,19264100,2737,D,4930.0,4960.0
2022-09-26,S*I..N..C..Ind.,4880.0,5020.0,4870.0,4930.0,177588314850,36037038,3012,D,4900.0,4930.0
2022-09-24,S*I..N..C..Ind.,4990.0,4990.0,4840.0,4900.0,322116986250,65757221,4094,D,5020.0,4870.0
2022-09-21,S*I..N..C..Ind.,5030.0,5060.0,5000.0,5020.0,163645638610,32625588,2367,D,5030.0,5020.0
2022-09-20,S*I..N..C..Ind.,5060.0,5060.0,5020.0,5030.0,181129102170,35977484,2285,D,5040.0,5030.0
2022-09-19,S*I..N..C..Ind.,5090.0,5090.0,5020.0,5040.0,162886060580,32328273,2361,D,5050.0,5040.0
2022-09-18,S*I..N..C..Ind.,5110.0,5120.0,5020.0,5050.0,174424286120,34556673,2944,D,5100.0,5050.0
2022-09-14,S*I..N..C..Ind.,5160.0,5160.0,5080.0,5100.0,139245179510,27320988,2335,D,5090.0,5090.0
2022-09-13,S*I..N..C..Ind.,5080.0,5130.0,5060.0,5090.0,157769825770,30982256,2791,D,5060.0,5100.0
2022-09-12,S*I..N..C..Ind.,5050.0,5110.0,5040.0,5060.0,141778073260,28022314,2764,D,5050.0,5080.0
2022-09-11,S*I..N..C..Ind.,5050.0,5090.0,5020.0,5050.0,165552001320,32786640,2564,D,5070.0,5070.0
2022-09-10,S*I..N..C..Ind.,5090.0,5160.0,5030.0,5070.0,246403090500,48590168,3194,D,5090.0,5050.0
2022-09-07,S*I..N..C..Ind.,5140.0,5180.0,5010.0,5090.0,418056480280,82094760,5589,D,5160.0,5170.0
2022-09-06,S*I..N..C..Ind.,5210.0,5220.0,5140.0,5160.0,163163896380,31604495,3034,D,5220.0,5190.0
2022-09-05,S*I..N..C..Ind.,5290.0,5290.0,5190.0,5220.0,148267694770,28383399,2899,D,5230.0,5230.0
2022-09-04,S*I..N..C..Ind.,5230.0,5250.0,5210.0,5230.0,146736784970,28062995,2603,D,5230.0,5230.0
2022-09-03,S*I..N..C..Ind.,5300.0,5300.0,5150.0,5230.0,202523881690,38751832,3541,D,5310.0,5240.0
2022-08-31,S*I..N..C..Ind.,5380.0,5400.0,5250.0,5310.0,178581077640,33620295,3633,D,5350.0,5350.0
2022-08-29,S*I..N..C..Ind.,5380.0,5410.0,5320.0,5350.0,164386190810,30728352,3006,D,5390.0,5350.0
2022-08-28,S*I..N..C..Ind.,5460.0,5470.0,5370.0,5390.0,138412339100,25668960,2449,D,5460.0,5400.0
2022-08-27,S*I..N..C..Ind.,5530.0,5560.0,5420.0,5460.0,193041315200,35357836,3265,D,5460.0,5450.0
2022-08-24,S*I..N..C..Ind.,5490.0,5500.0,5420.0,5460.0,228723810200,41907075,3123,D,5420.0,5500.0
2022-08-23,S*I..N..C..Ind.,5340.0,5470.0,5320.0,5420.0,169930345800,31326890,2701,D,5320.0,5460.0
2022-08-22,S*I..N..C..Ind.,5330.0,5400.0,5290.0,5320.0,116331018220,21855610,2566,D,5320.0,5330.0
2022-08-21,S*I..N..C..Ind.,5360.0,5400.0,5270.0,5320.0,204409355790,38436180,3239,D,5340.0,5330.0
2022-08-20,S*I..N..C..Ind.,5390.0,5420.0,5300.0,5340.0,176631273790,33047542,3792,D,5420.0,5360.0
2022-08-17,S*I..N..C..Ind.,5460.0,5490.0,5380.0,5420.0,189228275570,34923216,3880,D,5460.0,5440.0
2022-08-16,S*I..N..C..Ind.,5510.0,5550.0,5430.0,5460.0,124936197910,22892886,3018,D,5540.0,5460.0
2022-08-15,S*I..N..C..Ind.,5590.0,5620.0,5500.0,5540.0,203937477640,36791802,3582,D,5630.0,5580.0
2022-08-14,S*I..N..C..Ind.,5710.0,5730.0,5580.0,5630.0,142908008850,25368841,2648,D,5700.0,5590.0
2022-08-13,S*I..N..C..Ind.,5570.0,5770.0,5530.0,5700.0,247336743180,43402591,3717,D,5580.0,5710.0
2022-08-10,S*I..N..C..Ind.,5510.0,5620.0,5510.0,5580.0,209431557240,37534537,2403,D,5560.0,5550.0
2022-08-09,S*I..N..C..Ind.,5600.0,5620.0,5500.0,5560.0,172841536550,31097690,3201,D,5560.0,5600.0
2022-08-06,S*I..N..C..Ind.,5500.0,5630.0,5490.0,5560.0,160615035880,28911935,3437,D,5450.0,5620.0
2022-08-03,S*I..N..C..Ind.,5410.0,5520.0,5380.0,5450.0,269795682100,49503375,3152,D,5390.0,5500.0
2022-08-02,S*I..N..C..Ind.,5350.0,5460.0,5310.0,5390.0,187453127170,34781148,2642,D,5380.0,5460.0
2022-08-01,S*I..N..C..Ind.,5430.0,5470.0,5340.0,5380.0,121987643600,22678343,2738,D,5350.0,5380.0
2022-07-31,S*I..N..C..Ind.,5400.0,5440.0,5230.0,5350.0,291724500990,54565918,4235,D,5400.0,5410.0
2022-07-30,S*I..N..C..Ind.,5370.0,5490.0,5280.0,5400.0,333357452860,61732693,5976,D,5270.0,5390.0
2022-07-27,S*I..N..C..Ind.,5210.0,5330.0,5180.0,5270.0,287321809250,54571758,5908,D,5230.0,5300.0
2022-07-26,S*I..N..C..Ind.,5240.0,5370.0,5120.0,5230.0,426209434710,81449213,4580,D,5350.0,5310.0
2022-07-17,S*I..N..C..Ind.,6100.0,6130.0,5930.0,6050.0,647453729870,107004859,6037,D,6080.0,6110.0
2022-07-16,S*I..N..C..Ind.,6240.0,6240.0,6000.0,6080.0,469807457080,77219355,6504,D,6210.0,6090.0
2022-07-13,S*I..N..C..Ind.,6270.0,6300.0,6140.0,6210.0,297309351150,47879858,5714,D,6270.0,6240.0
2022-07-12,S*I..N..C..Ind.,6300.0,6380.0,6180.0,6270.0,352403984820,56213731,5017,D,6340.0,6200.0
2022-07-11,S*I..N..C..Ind.,6450.0,6510.0,6170.0,6340.0,457405860290,72136215,6794,D,6440.0,6260.0
2022-07-09,S*I..N..C..Ind.,6450.0,6480.0,6390.0,6440.0,331646228560,51517522,4636,D,6470.0,6440.0
