<DTYYYYMMDD>,<TICKER>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
2022-10-04,S*Saipa,1791.0,1810.0,1778.0,1791.0,237095307483,132351405,3150,D,1788.0,1796.0
2022-10-03,S*Saipa,1805.0,1830.0,1768.0,1788.0,276603166108,154734176,4280,D,1792.0,1790.0
2022-10-02,S*Saipa,1796.0,1839.0,1745.0,1792.0,462642271068,258242677,5966,D,1796.0,1800.0
2022-10-01,S*Saipa,1827.0,1846.0,1785.0,1796.0,612114959577,340783448,9235,D,1878.0,1785.0
2022-09-28,S*Saipa,1839.0,1907.0,1830.0,1878.0,509138988491,271113355,6250,D,1817.0,1849.0
2022-09-26,S*Saipa,1760.0,1834.0,1740.0,1817.0,561357188631,308926541,6236,D,1747.0,1834.0
2022-09-24,S*Saipa,1779.0,1810.0,1721.0,1747.0,430167582677,246298331,6868,D,1810.0,1731.0
2022-09-21,S*Saipa,1820.0,1840.0,1793.0,1810.0,293318940760,162020303,4629,D,1801.0,1809.0
2022-09-20,S*Saipa,1816.0,1846.0,1773.0,1801.0,317696899162,176411256,5307,D,1828.0,1790.0
2022-09-19,S*Saipa,1828.0,1875.0,1800.0,1828.0,358996865080,196358130,5777,D,1853.0,1814.0
2022-09-18,S*Saipa,1881.0,1901.0,1828.0,1853.0,298467513993,161088307,6173,D,1916.0,1831.0
2022-09-14,S*Saipa,1944.0,1948.0,1890.0,1916.0,496206328848,258955463,6642,D,1907.0,1902.0
2022-09-13,S*Saipa,1865.0,1924.0,1838.0,1907.0,631586897291,331248156,6524,D,1833.0,1924.0
2022-09-12,S*Saipa,1830.0,1860.0,1807.0,1833.0,336400427599,183505787,5292,D,1818.0,1854.0
2022-09-11,S*Saipa,1867.0,1868.0,1792.0,1818.0,391220875467,215234357,5822,D,1860.0,1817.0
2022-09-10,S*Saipa,1888.0,1903.0,1832.0,1860.0,430132466037,231237145,6442,D,1928.0,1870.0
2022-09-07,S*Saipa,1935.0,1971.0,1894.0,1928.0,471381238100,244474127,5776,D,1944.0,1900.0
2022-09-06,S*Saipa,1951.0,1965.0,1910.0,1944.0,418458906871,215254395,5825,D,1946.0,1964.0
2022-09-05,S*Saipa,1950.0,1981.0,1928.0,1946.0,327906956659,168512074,4768,D,1948.0,1950.0
2022-09-04,S*Saipa,1920.0,1972.0,1902.0,1948.0,463854537583,238160941,6406,D,1942.0,1948.0
2022-09-03,S*Saipa,2010.0,2010.0,1928.0,1942.0,991758919614,510729994,11567,D,2029.0,1929.0
2022-08-31,S*Saipa,1994.0,2079.0,1968.0,2029.0,825535977647,406876546,10577,D,2000.0,2069.0
2022-08-30,S*Saipa,2060.0,2060.0,1969.0,2000.0,805637088335,402742994,12629,D,2072.0,1983.0
2022-08-29,S*Saipa,2079.0,2096.0,2047.0,2072.0,553472409048,267098308,7779,D,2077.0,2057.0
2022-08-28,S*Saipa,2010.0,2166.0,1986.0,2077.0,2124669638415,1023144043,21757,D,2068.0,2073.0
2022-08-27,S*Saipa,2132.0,2138.0,2035.0,2068.0,1030001314994,498098603,11087,D,2142.0,2042.0
2022-08-24,S*Saipa,2149.0,2178.0,2087.0,2142.0,1118155649160,522128473,12735,D,2151.0,2166.0
2022-08-23,S*Saipa,2137.0,2182.0,2125.0,2151.0,1226157110796,570167500,13362,D,2150.0,2134.0
2022-08-22,S*Saipa,2164.0,2234.0,2086.0,2150.0,2000958759232,930735008,20805,D,2183.0,2107.0
2022-08-21,S*Saipa,2166.0,2239.0,2136.0,2183.0,1651200352502,756322454,16696,D,2152.0,2169.0
2022-08-20,S*Saipa,2120.0,2211.0,2091.0,2152.0,2034473789951,945366559,20669,D,2170.0,2130.0
2022-08-17,S*Saipa,2110.0,2179.0,2107.0,2170.0,3558359271731,1639910742,26599,D,2076.0,2179.0
2022-08-16,S*Saipa,2079.0,2107.0,2020.0,2076.0,2430387141238,1170893573,21677,D,2007.0,2029.0
2022-08-15,S*Saipa,1925.0,2042.0,1901.0,2007.0,1781722006590,887928485,14607,D,1945.0,2042.0
2022-08-14,S*Saipa,1956.0,1956.0,1905.0,1945.0,2392772047323,1230358076,19783,D,1863.0,1917.0
2022-08-13,S*Saipa,1863.0,1863.0,1863.0,1863.0,146234128248,78493896,1129,D,1775.0,1863.0
2022-08-10,S*Saipa,1761.0,1832.0,1718.0,1775.0,710334799914,400172690,9671,D,1777.0,1822.0
2022-08-09,S*Saipa,1780.0,1803.0,1685.0,1777.0,1579417851318,888612860,15240,D,1718.0,1762.0
2022-08-06,S*Saipa,1704.0,1720.0,1701.0,1718.0,268442382240,156240221,2638,D,1639.0,1720.0
2022-08-03,S*Saipa,1619.0,1642.0,1590.0,1639.0,522869107999,319013675,5715,D,1564.0,1642.0
2022-08-02,S*Saipa,1562.0,1625.0,1500.0,1564.0,390789934142,249810273,8094,D,1559.0,1610.0
2022-08-01,S*Saipa,1570.0,1599.0,1538.0,1559.0,290136267806,186064856,4710,D,1536.0,1555.0
2022-07-31,S*Saipa,1587.0,1600.0,1524.0,1536.0,451944812708,294330698,6958,D,1604.0,1549.0
2022-07-30,S*Saipa,1654.0,1680.0,1577.0,1604.0,271843003377,169455957,5993,D,1660.0,1586.0
2022-07-27,S*Saipa,1640.0,1695.0,1627.0,1660.0,295354257184,177947315,4985,D,1635.0,1657.0
2022-07-26,S*Saipa,1644.0,1676.0,1610.0,1635.0,253717366552,155136162,4423,D,1646.0,1618.0
2022-07-25,S*Saipa,1690.0,1700.0,1642.0,1646.0,399172958386,242489622,6301,D,1728.0,1642.0
2022-07-24,S*Saipa,1760.0,1800.0,1673.0,1728.0,251622361853,145612054,5239,D,1754.0,1693.0
2022-07-23,S*Saipa,1764.0,1764.0,1751.0,1754.0,39188343150,22260930,409,D,1751.0,1754.0
2022-07-16,S*Saipa,1775.0,1790.0,1712.0,1751.0,465356577078,265805029,7740,D,1802.0,1750.0
2022-07-13,S*Saipa,1808.0,1845.0,1775.0,1802.0,373331789826,207199658,5114,D,1767.0,1790.0
2022-07-12,S*Saipa,1780.0,1809.0,1740.0,1767.0,340256894469,192527810,4365,D,1729.0,1749.0
2022-07-11,S*Saipa,1800.0,1805.0,1710.0,1729.0,441327238274,255277899,6933,D,1799.0,1710.0
